1,504,505,499
2,504,505,499
3,503,505,499
4,504,505,499
5,504,505,499
6,503,505,499
7,503,505,499
8,503,505,499
9,504,505,498
10,503,504,498
11,504,504,498
12,504,504,498
13,503,504,498
14,503,504,498
15,503,504,498
16,503,504,498
17,503,504,498
18,503,504,498
19,503,504,497
20,502,504,497
21,503,504,497
22,503,504,497
23,503,504,497
24,503,504,497
25,504,504,497
26,505,504,497
27,506,504,497
28,508,504,497
29,510,504,497
30,513,504,497
31,517,504,497
32,520,504,497
33,524,504,497
34,528,504,497
35,531,505,496
36,535,505,496
37,539,505,496
38,544,505,496
39,548,506,496
40,552,506,496
41,556,506,496
42,560,507,496
43,565,508,496
44,569,508,496
45,573,509,496
46,578,510,496
47,582,510,496
48,586,511,496
49,590,512,496
50,594,513,496
51,598,514,496
52,602,515,496
53,605,516,496
54,609,517,496
55,613,519,496
56,617,520,496
57,621,521,496
58,624,523,496
59,628,524,496
60,632,525,497
61,635,527,497
62,639,528,497
63,642,530,497
64,646,531,497
65,649,533,497
66,652,534,498
67,654,536,498
68,658,538,498
69,661,539,498
70,664,541,498
71,668,542,498
72,671,544,499
73,674,546,499
74,677,547,499
75,681,549,499
76,684,551,499
77,687,552,500
78,690,554,500
79,693,555,500
80,697,557,500
81,700,559,501
82,702,560,501
83,704,561,501
84,708,563,502
85,711,565,502
86,713,567,502
87,716,568,503
88,719,570,503
89,722,571,503
90,724,573,504
91,726,575,504
92,728,576,504
93,730,578,505
94,731,579,505
95,731,581,506
96,732,582,506
97,733,584,506
98,735,585,507
99,737,586,507
100,740,588,508
101,742,589,508
102,743,591,509
103,745,592,509
104,746,594,510
105,748,595,511
106,749,597,511
107,750,598,512
108,753,599,512
109,754,601,513
110,756,602,514
111,757,603,514
112,758,605,515
113,760,606,515
114,762,607,516
115,764,608,517
116,766,609,517
117,767,611,518
118,767,612,519
119,768,613,519
120,769,614,520
121,770,615,521
122,771,617,521
123,772,618,522
124,773,619,523
125,775,620,523
126,775,622,524
127,777,623,524
128,778,624,525
129,779,625,526
130,780,627,526
131,781,628,527
132,782,629,528
133,784,631,528
134,784,631,529
135,784,632,530
136,785,634,531
137,786,634,531
138,787,635,532
139,788,637,532
140,788,637,533
141,789,638,534
142,790,639,534
143,792,640,535
144,793,641,536
145,794,642,536
146,794,643,537
147,795,644,538
148,795,645,538
149,795,646,539
150,794,646,540
151,793,647,540
152,792,648,541
153,791,648,542
154,791,649,542
155,790,649,543
156,790,650,544
157,789,651,544
158,789,651,545
159,788,652,546
160,787,653,546
161,785,653,547
162,785,653,548
163,784,654,549
164,783,655,549
165,782,655,550
166,781,655,551
167,779,656,551
168,778,657,552
169,776,657,553
170,775,657,554
171,773,658,554
172,772,658,555
173,770,658,556
174,768,658,556
175,766,659,557
176,764,659,558
177,762,659,558
178,761,659,559
179,759,660,560
180,757,659,560
181,756,659,561
182,755,659,562
183,753,659,563
184,752,660,563
185,749,659,564
186,746,659,564
187,744,659,565
188,742,659,565
189,739,659,566
190,736,659,567
191,734,659,567
192,732,658,568
193,731,658,569
194,729,658,569
195,728,657,570
196,727,657,570
197,725,656,571
198,724,655,571
199,722,655,572
200,720,654,572
201,719,653,573
202,717,652,573
203,716,651,573
204,714,651,574
205,713,650,574
206,710,649,575
207,708,648,575
208,707,648,575
209,705,647,575
210,704,647,576
211,702,646,576
212,701,646,576
213,699,645,577
214,697,644,577
215,695,643,577
216,693,643,577
217,692,643,578
218,690,642,578
219,689,642,578
220,688,642,578
221,686,642,578
222,685,641,579
223,684,641,579
224,682,640,579
225,681,640,579
226,680,639,579
227,679,639,580
228,678,639,580
229,677,638,580
230,676,638,580
231,675,638,580
232,674,637,580
233,673,637,580
234,672,636,580
235,671,635,579
236,670,635,579
237,669,635,579
238,668,634,579
239,667,634,579
240,666,633,579
241,665,632,579
242,664,631,579
243,662,631,579
244,661,631,579
245,659,630,579
246,658,630,579
247,657,629,579
248,656,629,579
249,655,628,579
250,654,628,579
251,653,627,579
252,651,627,579
253,650,626,579
254,649,625,579
255,647,624,579
256,645,623,578
257,644,623,579
258,642,622,578
259,641,622,578
260,640,621,579
261,639,621,578
262,637,620,578
263,636,619,578
264,635,619,578
265,634,618,578
266,633,618,578
267,633,618,578
268,632,617,578
269,631,617,578
270,630,616,577
271,630,615,577
272,629,615,577
273,628,614,577
274,627,613,577
275,626,612,576
276,625,612,576
277,625,611,576
278,623,611,575
279,623,610,575
280,622,609,575
281,621,609,574
282,621,608,574
283,620,608,574
284,619,607,574
285,618,607,573
286,618,606,573
287,617,606,573
288,616,605,573
289,615,605,572
290,614,605,572
291,613,604,572
292,612,603,572
293,611,603,572
294,609,602,572
295,608,602,572
296,607,601,572
297,607,601,572
298,606,600,572
299,605,599,571
300,604,599,571
301,602,599,571
302,601,598,571
303,600,597,571
304,599,597,571
305,598,595,571
306,597,594,571
307,596,594,571
308,596,594,570
309,595,593,570
310,594,593,570
311,593,593,570
312,593,592,570
313,591,592,570
314,591,591,569
315,590,590,569
316,589,590,569
317,589,590,568
318,588,589,568
319,588,589,568
320,587,588,567
321,587,588,567
322,586,587,567
