11,19
17,55
24,106
30,157
37,201
44,236
50,263
57,278
63,287
70,294
76,308
83,319
90,321
96,322
103,333
109,342
116,342
122,340
130,346
136,357
143,359
149,353
156,358
162,367
169,368
176,361
183,365
189,374
195,377
204,368
214,383
223,386
233,386
242,387
251,391
261,391
270,389
279,392
288,390
299,391
308,390
317,385
326,387
335,385
345,386
354,384
363,384
373,384
382,380
392,380
401,376
410,376
419,373
429,368
439,368
448,364
457,363
466,359
476,353
485,351
494,343
504,340
514,334
523,331
532,328
541,318
550,315
560,307
570,303
579,301
588,294
598,289
607,280
616,276
625,270
635,268
645,264
654,255
663,251
672,244
681,241
691,237
701,231
710,228
719,220
729,218
738,216
747,215
756,214
766,206
776,205
785,204
794,202
803,202
813,195
822,196
832,197
841,199
850,202
860,205
869,209
878,209
887,213
898,218
907,221
916,227
925,227
934,232
944,241
953,246
962,253
972,254
982,260
991,262
1000,268
1010,262
1020,265
1032,273
1042,278
1052,298
1062,319
1073,334
1083,338
1093,335
1104,326
1115,316
1125,313
1135,319
1145,331
1156,348
1167,370
1177,384
1187,388
1198,385
1208,376
1218,362
1228,356
1240,358
1250,365
1260,378
1270,396
1281,409
1291,413
1302,409
1312,399
1323,384
1333,372
1343,369
1353,373
1364,383
1375,398
1385,409
1395,411
1405,406
1416,394
1426,377
1437,361
1447,354
1458,353
1468,359
1478,370
1488,378
1500,378
1510,373
1520,361
1530,344
1541,324
1551,314
1562,312
1572,317
1583,328
1593,338
1603,340
1613,333
1624,320
1635,300
1645,280
1655,262
1666,255
1676,256
1686,265
1697,271
1708,276
1718,273
1728,261
1738,243
1748,228
1759,214
1770,205
1780,206
1790,216
1801,222
1811,227
1821,230
1832,222
1843,208
1853,198
1863,189
1873,182
1884,186
1894,199
1905,210
1915,221
1926,231
1936,231
1946,223
1956,217
1968,212
1978,208
1988,215
1998,231
2009,249
2019,266
2030,282
2040,285
2051,280
2061,273
2071,266
2081,265
2092,273
2103,288
2113,308
2123,330
2134,345
2144,350
2154,347
2165,337
2176,326
2186,323
2196,327
2206,338
2216,354
2227,375
2238,388
2248,392
2258,389
2269,381
2279,366
2289,361
2300,363
2311,370
2321,383
2331,401
2341,414
2352,417
2363,412
2373,402
2383,387
2394,375
2404,373
2414,378
2424,388
2436,403
2446,415
2456,416
2466,411
2477,400
2487,383
2498,367
2508,360
2519,361
2529,368
2539,381
2549,391
2561,392
2571,385
2581,371
2591,352
2601,331
2612,319
2622,317
2633,322
2643,333
2654,344
2664,345
2674,338
2684,323
2696,303
2706,283
2716,265
2726,257
2737,259
2747,268
2757,275
2768,281
2779,277
2789,265
2799,245
2809,229
2820,214
2831,201
2841,202
2851,212
2862,220
2872,227
2882,234
2893,228
2904,215
2914,204
2924,196
2934,189
2945,193
2955,207
2966,220
2976,232
2987,244
2997,244
3007,236
3017,229
3028,223
3039,218
3049,225
3059,241
3069,263
3080,282
3090,300
3101,304
3111,301
3122,290
3132,283
3142,283
3152,292
3164,307
3174,327
3184,350
3194,364
3205,369
3215,365
3225,356
3236,343
3247,340
3257,345
3267,355
3277,371
3288,392
3299,403
3309,406
3319,402
3330,392
3340,377
3350,370
3361,372
3372,380
3382,394
3392,412
3402,426
3412,429
3423,425
3434,414
3444,398
3454,386
3465,384
3475,388
3485,400
3496,416
3507,428
3517,430
3527,424
3537,411
3548,392
3559,374
3569,366
3579,367
3590,375
3600,388
3610,399
3620,400
3632,393
3642,379
3652,359
3662,337
3673,324
3683,320
3694,325
3704,337
3715,347
3725,350
3735,344
3745,329
3756,307
3767,287
3777,268
3787,259
3798,260
3808,270
3818,278
3829,285
3840,284
3850,273
3860,254
3870,239
3880,225
3891,212
3902,214
3912,225
3922,233
3933,240
3943,247
3953,241
3964,227
3975,217
3985,209
3995,202
4005,208
4016,224
4027,238
4037,251
4047,264
4058,265
4068,256
4078,249
4088,243
4100,241
4110,249
4120,266
4130,289
4141,308
4151,323
4162,327
4172,323
4183,312
4193,303
4203,301
4213,308
4224,321
4235,340
4245,366
4255,380
4265,385
4276,384
4286,375
4297,360
4307,357
4318,361
4328,371
4338,386
4348,407
4360,419
4370,422
4380,418
4390,409
4401,394
4411,388
4421,389
4432,397
4443,410
4453,428
4463,440
4473,442
4484,436
4495,424
4505,408
4515,394
4526,391
4536,396
4546,407
4556,422
4568,435
4578,436
4588,429
4598,415
4609,396
4619,376
4630,368
4640,369
4651,376
4661,389
4671,400
4681,400
4692,392
4703,376
4713,354
4723,332
4733,317
4744,313
4754,318
4765,330
4775,340
4786,343
4796,336
4806,321
4816,299
4828,278
4838,260
4848,251
4858,253
4869,263
4879,271
4889,278
4900,276
4911,266
4921,247
4931,233
4941,221
4952,210
4963,214
4973,228
4983,238
4994,247
5004,255
5014,249
5025,233
5036,223
5046,214
5056,207
5066,214
5076,230
5087,247
5098,261
5108,276
5118,276
5129,268
5139,260
5149,253
5160,251
5171,260
5181,276
5191,300
5201,321
5212,336
5222,340
5233,336
5243,324
5254,314
5264,313
5274,320
5284,334
5296,354
5306,379
5316,394
5326,399
5337,396
5347,387
5358,372
5368,370
5379,375
5389,385
5399,401
5409,422
5420,433
5431,435
5441,429
5451,418
5462,401
5472,394
5482,394
5493,401
5504,414
5514,432
5524,444
5534,447
5544,442
5556,431
5566,414
5576,401
5586,397
5597,399
5607,408
5617,421
5628,429
5639,429
5649,421
5659,408
5669,389
5680,371
5691,363
